1572215877000;000;warren;20
1572210502000;08;trump;17
1572209696000;1ibqj033eq;sanders;16
1572205829000;1mj9kz8hos;sanders;14
1572206672000;1osblr7seh;sanders;53
1572213193000;2016;trump;1100
1572203959000;2019;warren;31
1572211188000;20pm;trump;24
1572208306000;20;sanders;41
1572206778000;21h;trump;34
1572215613000;21;trump;650
1572207946000;2toqksyurv;trump;33
1572203650000;2ynnigstds;trump;19
1572204192000;30;trump;1463
1572211294000;387;trump;164
1572211051000;43;sanders;114
1572215784000;5k7nlvf7wc;trump;24
1572216252000;5lncwycaha;trump;20
1572215544000;5z3ukhkz7i;trump;12
1572212671000;6fimjuf3e9;trump;56
1572208318000;743;sanders;30
1572204062000;74;trump;22
1572204612000;77hacvrjqy;trump;29
1572210045000;7pdwzqaw29;trump;179
1572213053000;7zkhbvnrlk;trump;13
1572210233000;86;trump;24
1572215474000;900;trump;31
1572208954000;9;trump;258
1572214162000;9tyejfaqx7;trump;67
1572211357000;aaron;trump;13
1572209448000;abatieron;trump;11
1572213655000;abetting;trump;82
1572213252000;about;election2020;390
1572204115000;abroad;trump;11
1572212662000;abubaker;trump;19
1572209867000;acabar;trump;19
1572211269000;accept;trump;14
1572204784000;accueillons;trump;14
1572212294000;active;sanders;30
1572216616000;act;sanders;30
1572205167000;admits;trump;11
1572216578000;advice;election2020;24
1572205757000;advises;sanders;31
1572209036000;aezhbioq0y;trump;61
1572215377000;affinity;sanders;12
1572210782000;afirm;trump;43
1572211457000;afterward;trump;34
1572205757000;agree;sanders;47
1572208721000;ahrsv72bki;trump;12
1572213655000;aiding;trump;83
1572214164000;ajed3kmn9q;trump;50
1572210836000;all;election2020;396
1572216237000;along;sanders;24
1572207309000;aloud;warren;12
1572208953000;already;trump;678
1572215050000;always;election2020;21
1572205772000;amen;trump;60
1572204031000;america;election2020;43
1572206433000;americans;election2020;22
1572212774000;amerika;trump;23
1572208482000;amerriiicaaaa;trump;21
1572208763000;anchor;sanders;50
1572215055000;andrewyang;sanders;11
1572216231000;angry;sanders;55
1572215842000;animals;sanders;31
1572215590000;ankara;trump;20
1572207047000;anne;trump;11
1572214747000;announces;sanders;40
1572206732000;answer;sanders;576
1572213834000;anti;warren;12
1572211644000;any;biden;73
1572207546000;anyone;warren;229
1572211916000;any;sanders;520
1572215784000;any;warren;224
1572213497000;apart;sanders;16
1572211902000;appeal;sanders;21
1572215312000;appeared;trump;20
1572210820000;approach;election2020;11
1572206792000;approach;trump;36
1572209228000;apr;trump;66
1572206123000;aqprhlltsx;trump;16
1572215790000;aqzwunswsx;trump;18
1572205368000;aragua;trump;12
1572203995000;arm;trump;46
1572210707000;army;trump;60
1572205300000;arouf;trump;87
1572215055000;as;biden;57
1572212044000;asked;warren;28
